150,PREKSO-INTRA-20-RS,Precon KSO Indoor Trans 20 mtr dgn Roset
151,PREKSO-INTRA-40-RS,Precon KSO Indoor Trans 40 mtr dgn Roset
152,PROT-SLEEVE-TIPE3,Protection Sleeve Tipe 3
153,PROTECTION-SLEEVE,Protection Sleeve
154,PS-1-16-ODP-PB,PS-1-16-ODP-PB
155,PS-1-2-ODP-PB,PS-1-2-ODP-PB
156,PS-1-4,"PS-1-4 Pan-Out,for ODC/ODP"
157,PS-1-4-ODC-144,PS-1-4-ODC-144
158,PS-1-4-ODC-288,PS-1-4-ODC-288
159,PS-1-8,"PS-1-8 Pan-Out,for ODC/ODP"
160,PS-1-8-ODP-CA,PS-1-8-ODP-CA
161,PS-1-8-ODP-PB/PD,PS-1-8-ODP-PB/PD
162,PS-1-8-SOLID,PS-1-8-Solid
163,PS-1-8-SOLID-L,PS-1-8-Solid-LKP
164,PS-2-4-ODC-144,"Passive Splitter 2:4, Pan-Out, for ODC 1"
165,PS-2-4-ODC-288,"Passive Splitter 2:4, Pan-Out, for ODC 2"
166,PS-TIANG,Aksesories Tiang Pullstrap WWL
167,PU-G6.0-35KG,Tiang Galvanis 6M Tanpa Sambungan
168,PU-S7.0-140,Tiang Besi 7 Mtr
169,PU-S7.0-400NM,Tiang Besi 7 Meter Dengan 2 Segmen
170,PU-S9.0-140,Tiang Besi 9 Mtr
171,RJ45-5,RJ 45 Cat 5
172,RJ45-6,RJ 45 Cat 6
173,RP-GM-1.50,Riser Pipa 1.50 Galvanis
174,RP-GM-2,Riser Pipa 2.00 Galvanis
175,RS-IN-SC-1,RoSET with SC Adaptor 1 core exc pigtail
176,S-CLAMP-SPRINER,S-Clamp-Springer
177,SC-OF-SM-12,Alat Sambung untuk FO kap s.d 12 core
178,SC-OF-SM-144,Alat Sambung untuk FO kap s.d 144 core
179,SC-OF-SM-24,Alat Sambung untuk FO kap s.d 24 core
180,SC-OF-SM-288,Alat Sambung untuk FO kap s.d 288 core
181,SC-OF-SM-48,Alat Sambung untuk FO kap s.d 48 core
182,SC-OF-SM-96,Alat Sambung untuk FO kap s.d 96 core
183,SCREEN-4,Kabel Screen 4 urat
184,SLACK-S,Supporting Slack
185,SOC-FUJ,Connector of fiber instrument (Fujikura)
186,SOC-ILS,Splice on Connector Ilsintech
187,SOC-SUM,Splice on Connector Sumitomo
188,SPW-38,Span Wartel 3/8 Lengkap
189,SPW-58,Span Wartel 5/8 Lengkap
190,SS-TIANG-CAPIT,Suspension Capit
191,SS-TIANG-CLAMP,Suspension Clamp (Corong)
192,SS-TIANG-FO,Suspension FO
193,STAINLESS-BELT,Stainless Belt Lengkap
194,TC-2-160,"Tray Cable TC-2, Lebar 160 mm"
195,TC-OF-CR-200,"Tray Cable, Lebar 200 mm tebal 5 mm"
196,TC-SM-12,ODF/OTB FO Single Mode Kap 12 Core
197,TC-SM-24,ODF/OTB FO Single Mode Kap 24 Core
198,TC-SM-24-FC,ODF/OTB FO SM Kap 24 Core Adaptor FC
199,TC-SM-288F,ODF/OTB FO Single Mode Kap 288 Core
200,TC-SM-48,ODF/OTB FO Single Mode Kap 48 Core
201,TC-SM-96,ODF/OTB FO Single Mode Kap 96 Core
202,TC-SM-96F,ODF/OTB FO Single Mode 96 Core + pigtail
203,TC-SM-OTP-1,Optical Termination Premises Kap 1 core
204,TRAY-MESH-2,
205,TRAY-MESH-3,Wiremesh cabletray 30x10 cm + supporting
206,UC-3-5,Alat sambung Kabel tembaga UC-3-5
207,UC-4-6,Alat sambung Kabel tembaga UC-4-6
208,UTP-C5,Kabel UTP Cat 5 (Kec <20 Mbps)
209,UTP-C5E,Kabel UTP Cat 5 type E
210,UTP-C6,Kabel UTP Cat 6 (Kec <100 Mbps)
211,VSS-90-2,VSS 2m (kit instalasi tiap 90cm)
212,AC-OF-ADSS-100-24C,KU Fiber Optik ADSS Span 100 24 core
213,ODP-24-PORT-TBG,ODP Kap 24 Core Dgn Pigtail 24 Pcs TBG
214,CL-DOME-24-TBG,Closure Dome Kap s.d 24 Core TBG
215,PC-SC-SC-60-TBG,Patchcord SC-SC 60 Mtr DX TBG
216,PC-SC-LC-60-TBG,Patchcord SC-LC 60 Mtr DX TBG
217,PC-SC-LC-60-AR-TBG,Patchcord SC-LC 60 Mtr Armoured DX TBG
218,PC-SC-SC-60-AR-TBG,Patchcord SC-SC 60 Mtr Armoured DX TBG
220,PU-S9-2S-D4-MREP,Tiang Besi 9M 3 Segmen D 4 Inch MyRep
221,AC-ADSS-24D-MREP,KU FO ADSS 24 C G652D Marking Myrep
222,PU-S7-2S-D3-MREP,Tiang Besi 7M 2 Segmen D 3 Inch MyRep
223,PU-S7-3S-D4-MREP,Tiang Besi 7M 3 Segmen D 4 Inch MyRep
224,AC-ADSS-48D-MREP,KU FO ADSS 48 C G652D Marking Myrep
225,AC-ADSS-36D-MREP,KU FO ADSS 36 C G652D Marking Myrep
226,AC-OF-SM-1-3SL,
227,FAT-16-PORT-MYREP,FAT Kap 16 Port Dgn PS 1:8 1 Pcs Myrep
228,PC-SC-LC-2,
229,AC-OF-SM-ADSS-96D,
230,UTP-RJ45-C6-1,
